2024-05-13T22:23:20.743152 custom scheduler stable+%287437+QPS%29
2024-05-13T22:23:21.426302 custom scheduler stable+%287480+QPS%29
2024-05-13T22:23:22.109399 custom scheduler stable+%287213+QPS%29
2024-05-13T22:23:22.542923 custom scheduler unstable+%28CURR+10695+-+7332+QPS%29
2024-05-13T22:23:22.604677 custom scheduler stable+%287335+QPS%29
2024-05-13T22:23:22.790763 custom scheduler stable+%287279+QPS%29
2024-05-13T22:23:23.473418 custom scheduler stable+%287377+QPS%29
2024-05-13T22:23:23.661828 custom scheduler unstable+%28CURR+16847+-+8232+QPS%29
2024-05-13T22:23:24.488754 custom scheduler stable+%2853600+QPS%29
2024-05-13T22:23:25.121886 custom scheduler stable+%2862953+QPS%29
2024-05-13T22:23:25.834729 custom scheduler stable+%2862944+QPS%29
2024-05-13T22:23:26.532978 custom scheduler stable+%2862999+QPS%29
2024-05-13T22:23:27.233118 custom scheduler stable+%2862955+QPS%29
2024-05-13T22:23:27.928194 custom scheduler stable+%2863303+QPS%29
2024-05-13T22:23:28.636138 custom scheduler stable+%2863155+QPS%29
2024-05-13T22:23:29.332727 custom scheduler stable+%2863122+QPS%29
2024-05-13T22:23:30.033795 custom scheduler stable+%2862896+QPS%29
2024-05-13T22:23:30.735177 custom scheduler stable+%2862550+QPS%29
2024-05-13T22:23:31.434946 custom scheduler stable+%2863461+QPS%29
2024-05-13T22:23:32.136250 custom scheduler stable+%2862892+QPS%29
2024-05-13T22:23:32.839189 custom scheduler stable+%2862580+QPS%29
2024-05-13T22:23:33.540793 custom scheduler stable+%2862876+QPS%29
2024-05-13T22:23:33.729944 custom scheduler unstable+%28CURR+8772+-+57840+QPS%29
2024-05-13T22:23:34.598976 custom scheduler stable+%289587+QPS%29
2024-05-13T22:23:34.650365 update_cores radix [1]
2024-05-13T22:23:34.670495 unpause radix
2024-05-13T22:23:35.224390 custom scheduler stable+%286968+QPS%29
2024-05-13T22:23:35.390288 update_cores radix [3]
2024-05-13T22:23:35.415774 pause radix
2024-05-13T22:23:35.529553 update_cores radix [1]
2024-05-13T22:23:35.543851 unpause radix
2024-05-13T22:23:35.592275 update_cores radix [3]
2024-05-13T22:23:35.616834 pause radix
2024-05-13T22:23:35.908278 custom scheduler stable+%286676+QPS%29
2024-05-13T22:23:36.408923 update_cores radix [1]
2024-05-13T22:23:36.429355 unpause radix
2024-05-13T22:23:36.494406 update_cores radix [3]
2024-05-13T22:23:36.519834 pause radix
2024-05-13T22:23:36.592730 custom scheduler stable+%286474+QPS%29
2024-05-13T22:23:37.275504 custom scheduler stable+%286722+QPS%29
2024-05-13T22:23:37.425152 update_cores radix [1]
2024-05-13T22:23:37.445073 unpause radix
2024-05-13T22:23:37.496617 update_cores radix [3]
2024-05-13T22:23:37.521108 pause radix
2024-05-13T22:23:37.666447 update_cores radix [1]
2024-05-13T22:23:37.681185 unpause radix
2024-05-13T22:23:37.961721 custom scheduler stable+%286789+QPS%29
2024-05-13T22:23:38.445522 update_cores radix [3]
2024-05-13T22:23:38.459242 pause radix
2024-05-13T22:23:38.565677 update_cores radix [1]
2024-05-13T22:23:38.584951 unpause radix
2024-05-13T22:23:38.642139 update_cores radix [3]
2024-05-13T22:23:38.647377 custom scheduler stable+%286636+QPS%29
2024-05-13T22:23:38.666874 pause radix
2024-05-13T22:23:39.329359 custom scheduler stable+%286545+QPS%29
2024-05-13T22:23:39.468731 update_cores radix [1]
2024-05-13T22:23:39.485174 unpause radix
2024-05-13T22:23:39.531948 update_cores radix [3]
2024-05-13T22:23:39.556542 pause radix
2024-05-13T22:23:39.682552 update_cores radix [1]
2024-05-13T22:23:39.700539 unpause radix
2024-05-13T22:23:40.013096 custom scheduler stable+%286708+QPS%29
2024-05-13T22:23:40.516976 update_cores radix [3]
2024-05-13T22:23:40.542336 pause radix
2024-05-13T22:23:40.675872 update_cores radix [1]
2024-05-13T22:23:40.693283 unpause radix
2024-05-13T22:23:40.697865 custom scheduler stable+%286696+QPS%29
2024-05-13T22:23:40.742227 update_cores radix [3]
2024-05-13T22:23:40.756026 pause radix
2024-05-13T22:23:41.380243 custom scheduler stable+%286796+QPS%29
2024-05-13T22:23:41.504095 custom scheduler unstable+%28CURR+10046+-+6838+QPS%29
2024-05-13T22:23:41.525411 update_cores radix [1]
2024-05-13T22:23:41.544210 unpause radix
2024-05-13T22:23:41.566155 custom scheduler stable+%286803+QPS%29
2024-05-13T22:23:41.593122 update_cores radix [3]
2024-05-13T22:23:41.608489 pause radix
2024-05-13T22:23:42.063575 custom scheduler stable+%286634+QPS%29
2024-05-13T22:23:42.559555 update_cores radix [1]
2024-05-13T22:23:42.581220 unpause radix
2024-05-13T22:23:42.628958 update_cores radix [3]
2024-05-13T22:23:42.643544 pause radix
2024-05-13T22:23:42.748871 custom scheduler stable+%286335+QPS%29
2024-05-13T22:23:42.793818 update_cores radix [1]
2024-05-13T22:23:42.808612 unpause radix
2024-05-13T22:23:43.068656 custom scheduler unstable+%28CURR+9686+-+6401+QPS%29
2024-05-13T22:23:43.120918 update_cores radix [3]
2024-05-13T22:23:43.130621 custom scheduler stable+%286430+QPS%29
2024-05-13T22:23:43.134495 pause radix
2024-05-13T22:23:43.182579 update_cores radix [1]
2024-05-13T22:23:43.200637 unpause radix
2024-05-13T22:23:43.255267 custom scheduler unstable+%28CURR+9333+-+6509+QPS%29
2024-05-13T22:23:43.313286 update_cores radix [3]
2024-05-13T22:23:43.317695 custom scheduler stable+%286522+QPS%29
2024-05-13T22:23:43.327426 pause radix
2024-05-13T22:23:43.365938 update_cores radix [1]
2024-05-13T22:23:43.384292 unpause radix
2024-05-13T22:23:43.442736 custom scheduler stable+%286586+QPS%29
2024-05-13T22:23:43.567153 update_cores radix [3]
2024-05-13T22:23:43.580900 pause radix
2024-05-13T22:23:43.693743 custom scheduler unstable+%28CURR+20856+-+7430+QPS%29
2024-05-13T22:23:44.572295 custom scheduler stable+%2821445+QPS%29
2024-05-13T22:23:44.620519 update_cores radix [1]
2024-05-13T22:23:44.640520 unpause radix
2024-05-13T22:23:44.696816 update_cores radix [3]
2024-05-13T22:23:44.710516 pause radix
2024-05-13T22:23:44.814748 update_cores radix [1]
2024-05-13T22:23:44.838769 unpause radix
2024-05-13T22:23:45.204050 custom scheduler unstable+%28CURR+34433+-+22742+QPS%29
2024-05-13T22:23:45.253843 update_cores radix [3]
2024-05-13T22:23:45.269013 custom scheduler stable+%2822796+QPS%29
2024-05-13T22:23:45.280401 pause radix
2024-05-13T22:23:45.327513 update_cores radix [1]
2024-05-13T22:23:45.349413 unpause radix
2024-05-13T22:23:45.616983 update_cores radix [3]
2024-05-13T22:23:45.632420 pause radix
2024-05-13T22:23:45.769108 update_cores radix [1]
2024-05-13T22:23:45.786805 unpause radix
2024-05-13T22:23:45.831941 update_cores radix [3]
2024-05-13T22:23:45.866831 pause radix
2024-05-13T22:23:45.899577 custom scheduler stable+%2823063+QPS%29
2024-05-13T22:23:46.585548 custom scheduler stable+%2822818+QPS%29
2024-05-13T22:23:46.635796 update_cores radix [1]
2024-05-13T22:23:46.669646 unpause radix
2024-05-13T22:23:46.720888 update_cores radix [3]
2024-05-13T22:23:46.745387 pause radix
