2024-05-13T22:05:32.813617 custom scheduler unstable+%28CURR+36637+-+63922+QPS%29
2024-05-13T22:05:33.127661 custom scheduler stable+%2852596+QPS%29
2024-05-13T22:05:33.757818 custom scheduler stable+%2830197+QPS%29
2024-05-13T22:05:34.447122 custom scheduler stable+%2830412+QPS%29
2024-05-13T22:05:34.821451 custom scheduler unstable+%28CURR+63857+-+31768+QPS%29
2024-05-13T22:05:35.397531 custom scheduler stable+%2843581+QPS%29
2024-05-13T22:05:35.459910 custom scheduler unstable+%28CURR+71956+-+45468+QPS%29
2024-05-13T22:05:35.522608 custom scheduler stable+%2846689+QPS%29
2024-05-13T22:05:36.029114 custom scheduler stable+%2851888+QPS%29
2024-05-13T22:05:36.722752 custom scheduler stable+%2851904+QPS%29
2024-05-13T22:05:36.785891 custom scheduler unstable+%28CURR+76863+-+52531+QPS%29
2024-05-13T22:05:37.168047 custom scheduler stable+%2858252+QPS%29
2024-05-13T22:05:37.232365 custom scheduler unstable+%28CURR+87089+-+59419+QPS%29
2024-05-13T22:05:37.294981 custom scheduler stable+%2860447+QPS%29
2024-05-13T22:05:37.801234 custom scheduler stable+%2867874+QPS%29
2024-05-13T22:05:38.509942 custom scheduler stable+%2867907+QPS%29
2024-05-13T22:05:38.827481 custom scheduler unstable+%28CURR+19378+-+63653+QPS%29
2024-05-13T22:05:39.571340 custom scheduler stable+%2826378+QPS%29
2024-05-13T22:05:40.191814 custom scheduler stable+%2816277+QPS%29
2024-05-13T22:05:40.814694 custom scheduler unstable+%28CURR+100451+-+20422+QPS%29
2024-05-13T22:05:41.585660 custom scheduler stable+%2870091+QPS%29
2024-05-13T22:05:41.650662 custom scheduler unstable+%28CURR+108144+-+74873+QPS%29
2024-05-13T22:05:41.713493 custom scheduler stable+%2878949+QPS%29
2024-05-13T22:05:42.220964 custom scheduler stable+%2882177+QPS%29
2024-05-13T22:05:42.921103 custom scheduler stable+%2883159+QPS%29
2024-05-13T22:05:43.617483 custom scheduler stable+%2887122+QPS%29
2024-05-13T22:05:44.319831 custom scheduler stable+%2888029+QPS%29
2024-05-13T22:05:44.903612 custom scheduler unstable+%28CURR+131007+-+90261+QPS%29
2024-05-13T22:05:44.968860 custom scheduler stable+%2890904+QPS%29
2024-05-13T22:05:45.034283 custom scheduler stable+%2891383+QPS%29
2024-05-13T22:05:45.098837 custom scheduler unstable+%28CURR+135043+-+92468+QPS%29
2024-05-13T22:05:45.163355 custom scheduler stable+%2893164+QPS%29
2024-05-13T22:05:45.801092 custom scheduler stable+%28100481+QPS%29
2024-05-13T22:05:46.514787 custom scheduler stable+%28100286+QPS%29
2024-05-13T22:05:46.834802 custom scheduler unstable+%28CURR+64090+-+95723+QPS%29
2024-05-13T22:05:46.898681 custom scheduler stable+%2892625+QPS%29
2024-05-13T22:05:47.213410 custom scheduler stable+%2877923+QPS%29
2024-05-13T22:05:47.904420 custom scheduler stable+%2851431+QPS%29
2024-05-13T22:05:48.595528 custom scheduler stable+%2851425+QPS%29
2024-05-13T22:05:48.847847 custom scheduler unstable+%28CURR+15130+-+47702+QPS%29
2024-05-13T22:05:49.593123 custom scheduler stable+%2818834+QPS%29
2024-05-13T22:05:50.214925 custom scheduler stable+%2811826+QPS%29
2024-05-13T22:05:50.776550 custom scheduler unstable+%28CURR+36467+-+13875+QPS%29
2024-05-13T22:05:51.614147 custom scheduler stable+%2884934+QPS%29
2024-05-13T22:05:52.272998 custom scheduler stable+%2897496+QPS%29
2024-05-13T22:05:52.978739 custom scheduler stable+%2899116+QPS%29
2024-05-13T22:05:53.684308 custom scheduler stable+%2897553+QPS%29
2024-05-13T22:05:54.388662 custom scheduler stable+%2898503+QPS%29
2024-05-13T22:05:55.089593 custom scheduler stable+%2884694+QPS%29
2024-05-13T22:05:55.788224 custom scheduler stable+%2855643+QPS%29
2024-05-13T22:05:56.481096 custom scheduler stable+%2855660+QPS%29
2024-05-13T22:05:56.798183 custom scheduler unstable+%28CURR+98578+-+57341+QPS%29
2024-05-13T22:05:57.435544 custom scheduler stable+%2876723+QPS%29
2024-05-13T22:05:58.076264 custom scheduler stable+%2886941+QPS%29
2024-05-13T22:05:58.784282 custom scheduler stable+%2887123+QPS%29
2024-05-13T22:05:59.484026 custom scheduler stable+%2884027+QPS%29
2024-05-13T22:06:00.183837 custom scheduler stable+%2883098+QPS%29
2024-05-13T22:06:00.890911 custom scheduler stable+%2879298+QPS%29
2024-05-13T22:06:01.582771 custom scheduler stable+%2858794+QPS%29
2024-05-13T22:06:02.276513 custom scheduler stable+%2853566+QPS%29
2024-05-13T22:06:02.842955 custom scheduler unstable+%28CURR+16358+-+50118+QPS%29
2024-05-13T22:06:03.464598 custom scheduler stable+%2825986+QPS%29
2024-05-13T22:06:04.086817 custom scheduler stable+%2814256+QPS%29
2024-05-13T22:06:04.783926 custom scheduler unstable+%28CURR+37096+-+15292+QPS%29
2024-05-13T22:06:05.607316 custom scheduler stable+%2844759+QPS%29
2024-05-13T22:06:06.243906 custom scheduler stable+%2850364+QPS%29
2024-05-13T22:06:06.810544 custom scheduler unstable+%28CURR+17509+-+47708+QPS%29
2024-05-13T22:06:07.617087 custom scheduler stable+%2815501+QPS%29
2024-05-13T22:06:08.235938 custom scheduler stable+%289495+QPS%29
2024-05-13T22:06:08.794044 custom scheduler unstable+%28CURR+23901+-+10003+QPS%29
2024-05-13T22:06:09.605487 custom scheduler stable+%2824447+QPS%29
2024-05-13T22:06:10.233303 custom scheduler stable+%2827586+QPS%29
2024-05-13T22:06:10.920182 custom scheduler stable+%2825776+QPS%29
2024-05-13T22:06:11.604954 custom scheduler stable+%2820259+QPS%29
2024-05-13T22:06:12.299169 custom scheduler stable+%2818968+QPS%29
2024-05-13T22:06:12.803480 custom scheduler unstable+%28CURR+86197+-+22484+QPS%29
2024-05-13T22:06:13.584227 custom scheduler stable+%2875554+QPS%29
2024-05-13T22:06:14.225999 custom scheduler stable+%2887598+QPS%29
2024-05-13T22:06:14.931830 custom scheduler stable+%2887930+QPS%29
2024-05-13T22:06:15.127966 custom scheduler unstable+%28CURR+132105+-+89061+QPS%29
2024-05-13T22:06:15.192556 custom scheduler stable+%2889423+QPS%29
2024-05-13T22:06:15.638963 custom scheduler stable+%2892551+QPS%29
2024-05-13T22:06:16.340863 custom scheduler stable+%2893905+QPS%29
2024-05-13T22:06:17.046832 custom scheduler stable+%2888786+QPS%29
2024-05-13T22:06:17.749282 custom scheduler stable+%2877459+QPS%29
2024-05-13T22:06:18.450214 custom scheduler stable+%2876554+QPS%29
2024-05-13T22:06:18.832078 custom scheduler unstable+%28CURR+40303+-+73159+QPS%29
2024-05-13T22:06:19.272545 custom scheduler stable+%2854032+QPS%29
2024-05-13T22:06:19.901698 custom scheduler stable+%2832510+QPS%29
2024-05-13T22:06:20.590662 custom scheduler stable+%2832393+QPS%29
2024-05-13T22:06:20.779012 custom scheduler unstable+%28CURR+62575+-+33761+QPS%29
2024-05-13T22:06:21.548874 custom scheduler stable+%2873455+QPS%29
2024-05-13T22:06:21.611922 custom scheduler unstable+%28CURR+112425+-+77420+QPS%29
2024-05-13T22:06:21.674969 custom scheduler stable+%2880666+QPS%29
2024-05-13T22:06:22.186500 custom scheduler stable+%2885164+QPS%29
2024-05-13T22:06:22.711585 custom scheduler unstable+%28CURR+127909+-+85216+QPS%29
2024-05-13T22:06:22.774656 custom scheduler stable+%2885113+QPS%29
2024-05-13T22:06:22.901543 custom scheduler stable+%2884988+QPS%29
2024-05-13T22:06:23.605449 custom scheduler stable+%2883683+QPS%29
2024-05-13T22:06:24.309012 custom scheduler stable+%2882625+QPS%29
2024-05-13T22:06:24.815296 custom scheduler unstable+%28CURR+49601+-+79725+QPS%29
2024-05-13T22:06:25.192922 custom scheduler stable+%2863110+QPS%29
2024-05-13T22:06:25.817747 custom scheduler stable+%2837463+QPS%29
2024-05-13T22:06:26.505932 custom scheduler stable+%2837503+QPS%29
2024-05-13T22:06:26.826710 custom scheduler unstable+%28CURR+69171+-+38891+QPS%29
2024-05-13T22:06:27.333626 custom scheduler stable+%2847764+QPS%29
2024-05-13T22:06:27.965693 custom scheduler stable+%2854205+QPS%29
2024-05-13T22:06:28.659305 custom scheduler stable+%2854460+QPS%29
2024-05-13T22:06:29.348999 custom scheduler stable+%2840279+QPS%29
2024-05-13T22:06:30.040946 custom scheduler stable+%2830798+QPS%29
2024-05-13T22:06:30.731153 custom scheduler stable+%2830913+QPS%29
2024-05-13T22:06:31.419799 custom scheduler stable+%2831907+QPS%29
2024-05-13T22:06:32.111758 custom scheduler stable+%2832169+QPS%29
2024-05-13T22:06:32.800078 custom scheduler stable+%2832664+QPS%29
