2024-05-09T16:59:26.386214 custom scheduler unstable+%28CURR+10311+-+73607+QPS%29
2024-05-09T16:59:27.257253 custom scheduler stable+%2812687+QPS%29
2024-05-09T16:59:27.261772 update_cores memcached [0]
2024-05-09T16:59:27.881182 custom scheduler stable+%287757+QPS%29
2024-05-09T16:59:28.566436 custom scheduler stable+%287858+QPS%29
2024-05-09T16:59:29.248349 custom scheduler stable+%287796+QPS%29
2024-05-09T16:59:29.932820 custom scheduler stable+%287688+QPS%29
2024-05-09T16:59:30.616216 custom scheduler stable+%287717+QPS%29
2024-05-09T16:59:31.300642 custom scheduler stable+%287802+QPS%29
2024-05-09T16:59:31.984884 custom scheduler stable+%287754+QPS%29
2024-05-09T16:59:32.670334 custom scheduler stable+%287759+QPS%29
2024-05-09T16:59:33.354304 custom scheduler stable+%287650+QPS%29
2024-05-09T16:59:34.038316 custom scheduler stable+%287727+QPS%29
2024-05-09T16:59:34.722200 custom scheduler stable+%287705+QPS%29
2024-05-09T16:59:35.406882 custom scheduler stable+%287860+QPS%29
2024-05-09T16:59:36.089637 custom scheduler stable+%287799+QPS%29
2024-05-09T16:59:36.339534 custom scheduler unstable+%28CURR+30128+-+9293+QPS%29
2024-05-09T16:59:36.367815 update_cores memcached [0,1]
2024-05-09T16:59:37.189671 custom scheduler stable+%2864431+QPS%29
2024-05-09T16:59:37.834814 custom scheduler stable+%2873982+QPS%29
2024-05-09T16:59:37.977108 custom scheduler unstable+%28CURR+114773+-+73840+QPS%29
2024-05-09T16:59:38.041158 custom scheduler stable+%2874162+QPS%29
2024-05-09T16:59:38.551437 custom scheduler stable+%2873963+QPS%29
2024-05-09T16:59:39.252754 custom scheduler stable+%2874124+QPS%29
2024-05-09T16:59:39.960487 custom scheduler stable+%2873635+QPS%29
2024-05-09T16:59:40.672551 custom scheduler stable+%2874217+QPS%29
2024-05-09T16:59:41.397016 custom scheduler stable+%2873962+QPS%29
2024-05-09T16:59:42.101117 custom scheduler stable+%2874045+QPS%29
2024-05-09T16:59:42.819284 custom scheduler stable+%2873918+QPS%29
2024-05-09T16:59:43.526003 custom scheduler stable+%2873841+QPS%29
2024-05-09T16:59:44.235261 custom scheduler stable+%2873804+QPS%29
2024-05-09T16:59:44.945399 custom scheduler stable+%2874170+QPS%29
2024-05-09T16:59:45.659142 custom scheduler stable+%2873890+QPS%29
2024-05-09T16:59:46.369254 custom scheduler stable+%2872214+QPS%29
2024-05-09T16:59:47.070364 custom scheduler stable+%2851089+QPS%29
2024-05-09T16:59:47.769115 custom scheduler stable+%2843634+QPS%29
2024-05-09T16:59:48.458927 custom scheduler stable+%2843735+QPS%29
2024-05-09T16:59:49.156384 custom scheduler stable+%2843522+QPS%29
2024-05-09T16:59:49.845594 custom scheduler stable+%2843326+QPS%29
2024-05-09T16:59:50.542150 custom scheduler stable+%2843644+QPS%29
2024-05-09T16:59:51.235019 custom scheduler stable+%2843284+QPS%29
2024-05-09T16:59:51.931197 custom scheduler stable+%2843327+QPS%29
2024-05-09T16:59:52.625483 custom scheduler stable+%2843557+QPS%29
2024-05-09T16:59:53.322353 custom scheduler stable+%2843566+QPS%29
2024-05-09T16:59:54.017441 custom scheduler stable+%2843325+QPS%29
2024-05-09T16:59:54.712387 custom scheduler stable+%2843510+QPS%29
2024-05-09T16:59:55.416679 custom scheduler stable+%2843338+QPS%29
2024-05-09T16:59:56.110953 custom scheduler stable+%2843319+QPS%29
2024-05-09T16:59:56.365668 custom scheduler unstable+%28CURR+78883+-+44560+QPS%29
2024-05-09T16:59:56.944041 custom scheduler stable+%2859678+QPS%29
2024-05-09T16:59:57.590210 custom scheduler stable+%2870015+QPS%29
2024-05-09T16:59:58.297126 custom scheduler stable+%2869851+QPS%29
2024-05-09T16:59:59.000765 custom scheduler stable+%2869897+QPS%29
2024-05-09T16:59:59.515139 custom scheduler unstable+%28CURR+100912+-+70000+QPS%29
